2024-11-04 15:37:03.484 -05:00 [INF] Log output directed to D:\Projects\Git\MAAS_PhotonInfluenceMatrixCalc\Source_C#\bin\release\logs\influence-matrix-2024-11-04@15-37-03.txt
2024-11-04 15:37:07.371 -05:00 [INF] Opening Patient "LUNG1-005"
2024-11-04 15:39:31.232 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:31.388 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:31.546 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:31.704 -05:00 [INF] Progress: Beamlet 60/595.
2024-11-04 15:39:38.190 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:39:38.200 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:38.356 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:38.508 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:38.665 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:38.868 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:39.019 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:39.179 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:39.333 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:39.485 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:39.636 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:39.798 -05:00 [INF] Progress: Beamlet 70/595.
2024-11-04 15:39:46.244 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:39:46.254 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:46.407 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:46.559 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:46.711 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:46.866 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:47.020 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:47.166 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:47.313 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:47.467 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:47.621 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:47.780 -05:00 [INF] Progress: Beamlet 80/595.
2024-11-04 15:39:54.335 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:39:54.343 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:54.500 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:54.665 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:54.826 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:54.980 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:55.135 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:55.286 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:55.433 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:55.581 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:55.729 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:55.877 -05:00 [INF] Progress: Beamlet 90/595.
2024-11-04 15:40:02.655 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:40:02.664 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:02.818 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:02.981 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:03.128 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:03.272 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:03.421 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:03.655 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:03.808 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:03.961 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:04.111 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:04.260 -05:00 [INF] Progress: Beamlet 100/595.
2024-11-04 15:40:10.489 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:40:10.499 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:10.654 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:10.809 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:10.961 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:11.107 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:11.260 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:11.410 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:11.568 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:11.726 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:11.888 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:12.046 -05:00 [INF] Progress: Beamlet 110/595.
2024-11-04 15:40:18.780 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:40:18.789 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:18.944 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:19.095 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:19.242 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:19.393 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:19.545 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:19.699 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:19.851 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:20.004 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:20.153 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:20.303 -05:00 [INF] Progress: Beamlet 120/595.
2024-11-04 15:40:26.885 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:40:26.895 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:27.045 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:27.193 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:27.351 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:27.507 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:27.663 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:27.820 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:27.973 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:28.124 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:28.275 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:28.431 -05:00 [INF] Progress: Beamlet 130/595.
2024-11-04 15:40:35.407 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:40:35.416 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:35.573 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:35.731 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:35.888 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:36.041 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:36.190 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:36.344 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:36.499 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:36.656 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:36.817 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:36.971 -05:00 [INF] Progress: Beamlet 140/595.
2024-11-04 15:40:44.002 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:40:44.012 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:44.167 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:44.325 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:44.486 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:44.639 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:44.791 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:44.943 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:45.090 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:45.246 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:45.399 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:45.562 -05:00 [INF] Progress: Beamlet 150/595.
2024-11-04 15:40:52.119 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:40:52.128 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:52.280 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:52.436 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:52.591 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:52.747 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:52.899 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:53.047 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:53.198 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:53.342 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:53.502 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:40:53.659 -05:00 [INF] Progress: Beamlet 160/595.
2024-11-04 15:41:00.355 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:41:00.364 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:00.520 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:00.681 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:00.837 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:00.998 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:01.150 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:01.306 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:01.462 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:01.622 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:01.779 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:01.936 -05:00 [INF] Progress: Beamlet 170/595.
2024-11-04 15:41:08.744 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:41:08.754 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:08.909 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:09.062 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:09.216 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:09.368 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:09.523 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:09.675 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:09.821 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:09.971 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:10.209 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:10.380 -05:00 [INF] Progress: Beamlet 180/595.
2024-11-04 15:41:19.948 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:41:19.957 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:20.109 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:20.257 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:20.411 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:20.570 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:20.727 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:20.882 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:21.039 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:21.186 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:21.341 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:21.496 -05:00 [INF] Progress: Beamlet 190/595.
2024-11-04 15:41:27.865 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:41:27.875 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:28.026 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:28.173 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:28.326 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:28.482 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:28.910 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:29.072 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:29.229 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:29.382 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:29.532 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:29.691 -05:00 [INF] Progress: Beamlet 200/595.
2024-11-04 15:41:36.363 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:41:36.372 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:36.530 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:36.691 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:36.853 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:37.005 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:37.164 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:37.316 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:37.490 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:37.662 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:37.828 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:37.994 -05:00 [INF] Progress: Beamlet 210/595.
2024-11-04 15:41:45.029 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:41:45.038 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:45.181 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:45.333 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:45.490 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:45.648 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:45.806 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:45.962 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:46.115 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:46.265 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:46.421 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:46.582 -05:00 [INF] Progress: Beamlet 220/595.
2024-11-04 15:41:52.998 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:41:53.006 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:53.159 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:53.306 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:53.462 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:53.618 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:53.779 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:53.936 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:54.092 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:54.246 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:54.399 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:41:54.562 -05:00 [INF] Progress: Beamlet 230/595.
2024-11-04 15:42:01.175 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:42:01.183 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:01.334 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:01.496 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:01.658 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:01.822 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:01.983 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:02.138 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:02.292 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:02.450 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:02.611 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:02.777 -05:00 [INF] Progress: Beamlet 240/595.
2024-11-04 15:42:09.029 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:42:09.037 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:09.189 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:09.344 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:09.502 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:09.694 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:09.859 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:10.020 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:10.175 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:10.324 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:10.481 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:10.648 -05:00 [INF] Progress: Beamlet 250/595.
2024-11-04 15:42:17.051 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:42:17.061 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:17.214 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:17.365 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:17.526 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:17.691 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:17.939 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:18.092 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:18.260 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:18.419 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:18.578 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:18.739 -05:00 [INF] Progress: Beamlet 260/595.
2024-11-04 15:42:25.641 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:42:25.651 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:25.810 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:25.972 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:26.131 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:26.288 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:26.491 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:26.655 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:26.814 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:26.982 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:27.138 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:27.296 -05:00 [INF] Progress: Beamlet 270/595.
2024-11-04 15:42:33.977 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:42:33.986 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:34.138 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:34.291 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:34.446 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:34.608 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:34.786 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:34.940 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:35.098 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:35.257 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:35.411 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:35.572 -05:00 [INF] Progress: Beamlet 280/595.
2024-11-04 15:42:42.150 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:42:42.159 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:42.311 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:42.473 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:42.632 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:42.793 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:42.950 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:43.115 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:43.268 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:43.427 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:43.590 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:43.750 -05:00 [INF] Progress: Beamlet 290/595.
2024-11-04 15:42:50.560 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:42:50.570 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:50.730 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:50.890 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:51.049 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:51.205 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:51.365 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:51.529 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:51.696 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:42:51.860 -05:00 [INF] Progress: GetDosePoints completed.
